,Title,Price,Rooms,Area,Floor,Building Floors,Condition,Material,Address,Lift,Security,Internet,Playground,Sauna,Sewerage,Fridge,Telephone Line,Separate Bathrooms,Surveillance,Pool,Water,Microwave,Parking,AC,TV,Washing Machine,Cable TV,Furniture,Gas
764,3-комнатная квартира на продажу,128 000 у.е.,3,74 м²,3,9,Евроремонт,Панельный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Шахрисабз, улица Шахрисабз",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
765,5-комнатная квартира на продажу,140 000 у.е.,5,115 м²,6,9,Средний,Панельный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Шахжахан, улица Шох-Жахон",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766,3-комнатная квартира на продажу,92 000 у.е.,3,61.43 м²,10,11,Евроремонт,Кирпичный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Яккасарай, улица Яккасарай",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
767,3-комнатная квартира на продажу,165 000 у.е.,3,133 м²,8,9,Евроремонт,Панельный,"город Ташкент, Мирабадский район, махаллинский сход граждан Салор, улица Айбека",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
768,1-комнатная квартира на продажу,45 677.53 у.е.,1,37.19 м²,4,11,Черновая отделка,Монолитный,"город Ташкент, Мирабадский район, махаллинский сход граждан Инокобод, улица Хамал",1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1
769,4-комнатная квартира на продажу,113 000 у.е.,4,3 м²,6,9,Евроремонт,Панельный,"город Ташкент, Шайхантахурский район, массив Хадра",1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
770,2-комнатная квартира на продажу,74 000 у.е.,2,45 м²,3,4,Евроремонт,Панельный,"город Ташкент, Чиланзарский район, 2-й квартал",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771,3-комнатная квартира на продажу,109 000 у.е.,3,67 м²,3,4,Евроремонт,Кирпичный,"город Ташкент, Чиланзарский район, 2-й квартал",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
772,3-комнатная квартира на продажу,100 000 у.е.,3,90 м²,8,9,Черновая отделка,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Подшобог, улица Салом",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
773,2-комнатная квартира на продажу,81 000 у.е.,2,73 м²,4,8,Евроремонт,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Гульсанам",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
