,Title,Price,Land Area,Footprint,Area,Floors,Condition,Style,Province,District,Neighborhood
125,Турар жой,3 080 000 000 сум,800.0,438.0,251.08,1,Қониқарли,Оддий,Тошкент вилояти,Зангиота тумани,Achchisoy MFY
126,Турар жой,600 000 000 сум,1200.0,205.8,117.69,1,Яхши,Оддий,Тошкент вилояти,Юқоричирчиқ тумани,Iyk ota MFY
127,Турар жой,392 500 000 сум,338.0,158.31,38.25,1,Қониқарли,Оддий,,Тошкент вилояти,Uch sada MFY
128,Турар жой,422 012 500 сум,928.0,328.3,146.28,1,Қониқарли,Оддий,Тошкент вилояти,Янгийўл тумани,Said-ota MFY
129,Турар жой,2 064 000 000 сум,600.0,525.5,364.67,2,Яхши,Оддий,Тошкент вилояти,Зангиота тумани,Ramadon MFY
130,Турар жой,336 000 000 сум,600.0,612.59,248.96,1,Қониқарли,Оддий,Жиззах вилояти,Шароф Рашидов тумани,Toshkentiik MFY
131,Турар жой,475 351 800 сум,405.0,136.08,52.56,2,Қониқарли,Оддий,Андижон вилояти,Андижон шаҳри,Axmad-Yassaviy MFY
132,Турар жой,324 000 000 сум,2567.0,88.26,60.58,1,Қониқарли,Оддий,Сирдарё вилояти,Боёвут тумани,Dustlik MFY
133,Турар жой,144 000 000 сум,890.0,301.28,142.5,1,Қониқарли,Оддий,Наманган вилояти,Чортоқ тумани,Koramurt MFY
134,Турар жой,7 135 836 180 сум,1650.0,891.74,1730.82,2,Яхши,Оддий,Наманган вилояти,Наманган шаҳри,Chamanzor MFY
135,Турар жой,380 000 000 сум,800.0,197.5,150.38,1,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Нукус тумани,Samanboy OFY
136,Турар жой,245 000 000 сум,600.0,105.4,81.76,1,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Boz auil MFY
137,Турар жой,429 792 000 сум,600.0,158.0,136.54,1,Қониқарли,Оддий,Навоий вилояти,Хатирчи тумани,Qoracha MFY
138,Турар жой,455 100 000 сум,600.0,428.26,113.79,1,Қониқарли,Оддий,Навоий вилояти,Хатирчи тумани,Navbahor MFY
139,Турар жой,330 000 000 сум,410.0,59.21,95.0,1,Қониқарли,Оддий,Навоий вилояти,Хатирчи тумани,Navbahor MFY
140,Турар жой,250 000 000 сум,1200.0,72.0,54.6,1,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Хўжайли тумани,Jana jap OFY
141,Турар жой,420 000 000 сум,253.29,253.29,295.84,2,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Almazar MFY
142,Турар жой,370 000 000 сум,601.61,112.68,118.02,1,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Amanlik guzari MFY
143,Турар жой,85 000 000 сум,896.0,63.98,54.56,1,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Тахиатош тумани,Doslik MFY
144,Турар жой,330 000 000 сум,200.0,145.68,122.05,1,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Тахиатош тумани,Jayxun MFY
145,Турар жой,100 000 000 сум,388.2,171.14,134.52,1,Қониқарсиз,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Jayxun MFY
146,Турар жой,320 000 000 сум,601.9,353.27,405.23,1,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Ornek MFY
147,Турар жой,350 000 000 сум,774.31,218.44,174.2,1,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Sarbinaz MFY
148,Турар жой,500 000 000 сум,600.0,236.5,211.1,1,Қониқарли,Оддий,Сурхондарё вилояти,Жарқўрғон тумани,Ulugbek MFY
149,Турар жой,520 000 000 сум,600.0,226.68,220.43,1,Яхши,Оддий,Сурхондарё вилояти,Қизириқ тумани,Dustlik MFY
150,Турар жой,480 000 000 сум,673.0,308.05,128.2,1,Қониқарли,Оддий,Қашқадарё вилояти,Нишон тумани,Navbaxor MFY
151,Турар жой,600 000 000 сум,600.0,206.99,107.7,1,Қониқарли,Оддий,Қашқадарё вилояти,Ғузор туман,Mustagillik MFY
152,Турар жой,300 000 000 сум,600.0,69.0,126.4,1,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Қўнғирот тумани,Altinkul SHFY
153,Турар жой,2 800 000 000 сум,360.0,215.23,347.8,2,Яхши,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Jeke-terek MFY
154,Турар жой,650 000 000 сум,480.0,112.68,66.28,1,Яхши,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Doslik MFY
155,Турар жой,495 000 000 сум,400.0,131.44,99.55,1,Яхши,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Gone kala MFY
156,Турар жой,350 000 000 сум,600.0,104.52,82.86,1,Қониқарсиз,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Taslak MFY
157,Турар жой,1 000 000 000 сум,600.0,255.2,317.43,1,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Naubaxar MFY
158,Турар жой,336 000 000 сум,200.0,94.0,71.9,1,Қониқарли,Оддий,Бухоро вилояти,Бухоро тумани,Sufikorgar MFY
159,Турар жой,450 000 000 сум,360.0,100.95,69.5,1,Қониқарли,Оддий,Сурхондарё вилояти,Термиз шаҳри,Kattabog MFY
160,Турар жой,472 000 000 сум,200.0,91.02,67.1,1,Қониқарли,Оддий,Самарқанд вилояти,Иштихон тумани,Xalqobad MFY
161,Турар жой,180 000 000 сум,600.0,145.41,107.96,1,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Чимбой тумани,Tagjap OFY
162,Турар жой,751 680 000 сум,258.0,132.32,349.44,2,Қониқарсиз,Оддий,Бухоро вилояти,Бухоро тумани,Rabotikalmok MFY
163,Турар жой,1 166 400 000 сум,600.0,251.2,340.14,1,Қониқарли,Оддий,Бухоро вилояти,Бухоро тумани,Shexoncha MFY
164,Турар жой,583 200 000 сум,400.0,258.51,174.93,1,Қониқарсиз,Оддий,Бухоро вилояти,Бухоро тумани,Dustlik MFY
165,Турар жой,500 000 000 сум,1500.0,331.0,143.1,1,Қониқарли,Оддий,Бухоро вилояти,Бухоро тумани,Bogikalon MFY
166,Турар жой,2 450 000 000 сум,800.0,211.72,264.47,2,Яхши,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Urinkol MFY
167,Турар жой,324 750 000 сум,400.0,144.42,125.64,1,Қониқарсиз,Оддий,Бухоро вилояти,Бухоро тумани,Oybek MFY
